Iteration,Phase,Id,X,Y,Weight
1,2,1,320.5793662404194,203.468910096404,10.0
1,2,2,78.5162179620304,525.9831683147344,10.0
1,2,3,431.68881936643135,410.277613227298,10.0
1,2,4,532.0207063665057,269.9590237045123,11.0
1,2,5,64.30914835149343,146.20898861994544,10.003804418087467
1,2,6,507.2956040373658,276.6680907450641,11.816895958703633
1,2,7,405.5622579762392,452.6232363909231,10.0
1,2,8,303.3721474139307,455.05300430125,10.561312731859287
1,2,9,145.80013595099228,295.07463607459795,10.0
1,2,10,340.6183084358737,143.16775670707352,10.352423788429089
1,2,11,469.8402799227474,561.5717451467921,10.0
1,2,12,110.5725326872381,130.91490132005802,10.063539608693391
1,2,13,98.82705056873709,577.4904805184058,10.487967471244831
1,2,14,199.82442958059988,273.83144349459496,10.0
2,0,0,435.7181457642753,462.105534571145,10.0
2,0,1,320.5793662404194,203.468910096404,10.0
2,0,2,123.32616398683945,512.8323967636954,10.0
2,0,3,415.0804645268197,427.05874336748536,10.0
2,0,4,537.1254718434037,243.4104608270251,11.0
2,0,5,94.22033067681286,139.98106220277677,10.003804418087467
2,0,6,515.7254235024005,305.6808886914893,11.816895958703633
2,0,7,405.5622579762392,452.6232363909231,10.0
2,0,8,303.3721474139307,455.05300430125,10.561312731859287
2,0,9,145.80013595099228,295.07463607459795,10.0
2,0,10,317.4963880176976,187.2065123268855,10.352423788429089
2,0,11,469.8402799227474,561.5717451467921,10.0
2,0,12,110.5725326872381,130.91490132005802,10.063539608693391
2,0,13,46.11684564577715,600,10.487967471244831
2,0,14,174.10969042612248,252.10414654079938,10.0
2,1,0,439.3082224169957,455.4719808787029,10.38602213374615
2,1,1,320.5793662404194,203.468910096404,10.0
2,1,2,129.80291335932603,510.931607788325,10.445861037738014
2,1,3,413.4613360002709,428.6947155501667,10.300726403910284
2,1,4,538.1576925572052,238.04214828694376,11.623754406880204
2,1,5,94.31803449630428,139.96071890133683,10.013880572476143
2,1,6,516.1607870471678,307.1792736343653,11.976208746856587
2,1,7,405.5622579762392,452.6232363909231,10.0
2,1,8,303.3721474139307,455.05300430125,10.561312731859287
2,1,9,145.80013595099228,295.07463607459795,10.0
2,1,10,310.00077683436916,201.48289522042066,11.352423788429089
2,1,11,469.8402799227474,561.5717451467921,10.0
2,1,12,110.5725326872381,130.91490132005802,10.063539608693391
2,1,13,44.42611521486231,600,10.58691307808635
2,1,14,173.6092774797665,251.6813298589079,10.0600292980892
2,2,0,377.51996475102544,398.00353038755287,10.38602213374615
2,2,1,316.2989290202634,209.7391713240296,10.0
2,2,2,162.91116870698275,413.1731924185011,10.445861037738014
2,2,3,396.44133210766245,394.17479544366574,10.300726403910284
2,2,4,322.55736506980463,338.7176041463502,11.623754406880204
2,2,5,113.81761230346038,233.54906476314483,10.013880572476143
2,2,6,449.40386251482965,329.2715137229576,11.976208746856587
2,2,7,339.4011847978561,382.54710045230604,10.0
2,2,8,300.3036769096533,420.1371965631256,10.561312731859287
2,2,9,204.90468820562174,314.2104964598853,10.0
2,2,10,305.77811647530694,270.6667927546676,11.352423788429089
2,2,11,437.1933495534794,553.7291610420002,10.0
2,2,12,220.26551643674864,145.27121653607875,10.063539608693391
2,2,13,91.42619829506413,405.69381695289593,10.58691307808635
2,2,14,276.21797219996927,340.93083768862584,10.0600292980892
3,0,0,377.51996475102544,398.00353038755287,10.38602213374615
3,0,1,315.426189221995,241.8761360636725,10.0
3,0,2,112.23310915266762,367.6169010559847,10.445861037738014
3,0,3,396.44133210766245,394.17479544366574,10.300726403910284
3,0,4,322.55736506980463,338.7176041463502,11.623754406880204
3,0,5,113.81761230346038,233.54906476314483,10.013880572476143
3,0,6,464.51642813880727,305.0828325258194,11.976208746856587
3,0,7,357.06757195078154,345.5515876415072,10.0
3,0,8,300.3036769096533,420.1371965631256,10.561312731859287
3,0,9,204.90468820562174,314.2104964598853,10.0
3,0,10,305.77811647530694,270.6667927546676,11.352423788429089
3,0,11,388.667297241099,531.0233464189345,10.0
3,0,12,205.7205541176909,184.24873648745753,10.063539608693391
3,0,13,91.42619829506413,405.69381695289593,10.58691307808635
3,0,14,275.8848886718939,295.19236363356663,10.0600292980892
