Iteration,Phase,Id,X,Y,Weight
1,0,1,156.47102917013848,294.7379088211247,25.0
1,0,2,395.1962637450008,0,25.0000003895704
1,0,3,222.59511299392668,0,25.0
1,0,4,502.5085347993281,273.8282608119948,26.0
1,0,5,600,325.45463469529284,25.01565513475941
1,0,6,383.3560155815569,600,25.0
1,0,7,600,53.40264174035916,25.000003278072825
1,0,8,600,308.6193196940413,25.0
1,0,9,288.54419979502694,154.41204947153798,25.01407890934435
1,0,10,16.793828336671467,396.73277235240266,25.0
1,0,11,374.97982327130666,241.6472169534676,25.0
1,0,12,325.64221789990995,378.2345456473267,25.812238961456604
1,0,13,600,272.9711130863823,25.0
1,0,14,407.1176011063615,600,25.0
1,1,0,215.4095662944523,361.6112902792445,25.63612832097136
1,1,1,179.22484168614275,300.0844188008848,26.0
1,1,2,406.6400546203141,0.0,25.48404092732675
1,1,3,222.59511300647117,0.0,25.00000000632454
1,1,4,502.5085347993281,273.8282608119948,26.0
1,1,5,600.0,325.45463469529284,25.01565513475941
1,1,6,382.45531800630107,600.0,25.05560662609753
1,1,7,600.0,53.40264174035916,25.000003278072825
1,1,8,600.0,308.6193196940413,25.0
1,1,9,288.54419979502694,154.41204947153798,25.01407890934435
1,1,10,16.793036315142768,396.73149614841606,25.00004317501497
1,1,11,374.97982327130666,241.6472169534676,25.0
1,1,12,325.76973004311594,378.5896011360954,25.823193951816453
1,1,13,600.0,272.9711130863823,25.0
1,1,14,432.5178600126212,600,25.741586337125526
1,2,0,417.9838897545026,258.8137972009543,25.63612832097136
1,2,1,276.2673276533847,297.61624595578877,26.0
1,2,2,398.4432545644655,182.67369362549687,25.48404092732675
1,2,3,419.00561879195027,368.13385062722944,25.00000000632454
1,2,4,501.2587932291295,282.48894595491726,26.0
1,2,5,463.9235864045981,312.0209608091954,25.01565513475941
1,2,6,382.4931955883318,440.54411142176593,25.05560662609753
1,2,7,292.6104729276031,165.74646743770717,25.000003278072825
1,2,8,430.87372713889965,283.8521729143339,25.0
1,2,9,339.88240099271763,344.96025190009954,25.01407890934435
1,2,10,544.9931814856972,354.58365236909384,25.00004317501497
1,2,11,380.7127222033456,261.27304407951374,25.0
1,2,12,350.0792662879132,373.41859992738506,25.823193951816453
1,2,13,401.28140418452494,282.14129058692606,25.0
1,2,14,428.6683916317813,468.39507428144407,25.741586337125526
2,0,0,417.9838897545026,258.8137972009543,25.63612832097136
2,0,1,276.2673276533847,297.61624595578877,26.0
2,0,2,398.4432545644655,182.67369362549687,25.48404092732675
2,0,3,419.00561879195027,368.13385062722944,25.00000000632454
2,0,4,501.2587932291295,282.48894595491726,26.0
2,0,5,463.9235864045981,312.0209608091954,25.01565513475941
2,0,6,461.0620774000422,461.5939355313538,25.05560662609753
2,0,7,51.53697362761691,363.0384558424148,25.000003278072825
2,0,8,430.87372713889965,283.8521729143339,25.0
2,0,9,339.88240099271763,344.96025190009954,25.01407890934435
2,0,10,544.9931814856972,354.58365236909384,25.00004317501497
2,0,11,380.7127222033456,261.27304407951374,25.0
2,0,12,435.4989361648335,181.81580675392203,25.823193951816453
2,0,13,401.28140418452494,282.14129058692606,25.0
2,0,14,428.6683916317813,468.39507428144407,25.741586337125526
2,1,0,417.9838897545026,258.8137972009543,25.63612832097136
2,1,1,276.2673276533847,297.61624595578877,26.0
2,1,2,398.4432545644655,182.67369362549687,25.48404092732675
2,1,3,419.00561879195027,368.13385062722944,25.00000000632454
2,1,4,501.2587932291295,282.48894595491726,26.0
2,1,5,463.9235864045981,312.0209608091954,25.01565513475941
2,1,6,470.6604396100387,464.16548589075353,25.674213612801374
2,1,7,48.23800841618654,365.7382938923497,25.06929742015438
2,1,8,430.87372713889965,283.8521729143339,25.0
2,1,9,339.88240099271763,344.96025190009954,25.01407890934435
2,1,10,544.9931814856972,354.58365236909384,25.00004317501497
2,1,11,380.7127222033456,261.27304407951374,25.0
2,1,12,452.367947510774,143.97733586525914,26.823193951816453
2,1,13,401.28140418452494,282.14129058692606,25.0
2,1,14,428.6683916317813,468.39507428144407,25.741586337125526
2,2,0,408.293591446479,267.4933672836718,25.63612832097136
2,2,1,442.7614596215657,314.64665348135907,26.0
2,2,2,398.5290215936373,307.075353639199,25.48404092732675
2,2,3,394.5586355218539,321.3193343281812,25.00000000632454
2,2,4,421.3296736985236,292.56540333765804,26.0
2,2,5,454.986739000973,310.4257919265437,25.01565513475941
2,2,6,375.30709152095267,321.34887234655906,25.674213612801374
2,2,7,223.00258451907808,337.5235197430153,25.06929742015438
2,2,8,396.48323233463316,319.4301097937004,25.0
2,2,9,416.5936618616616,305.78584980726976,25.01407890934435
2,2,10,406.8007253835829,349.1660794936194,25.00004317501497
2,2,11,384.9820022392041,326.75273245149964,25.0
2,2,12,404.4656808242398,146.23442350287272,26.823193951816453
2,2,13,400.89150865816106,310.12453401766993,25.0
2,2,14,428.44503066323296,431.1190875946543,25.741586337125526
3,0,0,436.40324115312586,378.17851731281723,25.63612832097136
3,0,1,442.7614596215657,314.64665348135907,26.0
3,0,2,398.5290215936373,307.075353639199,25.48404092732675
3,0,3,394.5586355218539,321.3193343281812,25.00000000632454
3,0,4,421.3296736985236,292.56540333765804,26.0
3,0,5,454.986739000973,310.4257919265437,25.01565513475941
3,0,6,375.30709152095267,321.34887234655906,25.674213612801374
3,0,7,223.00258451907808,337.5235197430153,25.06929742015438
3,0,8,396.48323233463316,319.4301097937004,25.0
3,0,9,416.5936618616616,305.78584980726976,25.01407890934435
